"Store Nbr","Mod Footage","Store Name","Store Type","Building Address","Building City","Building State/Prov","Building Postal Code"
"768","12","KATY, TX","Supercenter","1313 N FRY RD","KATY","TX","77449"
"771","12","MERRITT ISLAND FL","Supercenter","1500 E MERRITT ISLAND CSWY","MERRITT ISLAND","FL","32952"
"772","12","HOUSTON (ALIEF) TX","Supercenter","3506 HIGHWAY 6 S","HOUSTON","TX","77082"
"774","12","COLUMBUS NE","Supercenter","818 E 23RD ST","COLUMBUS","NE","68601"
"775","12","GALESBURG IL","Supercenter","659 KNOX SQUARE DR","GALESBURG","IL","61401"
"776","12","FREMONT NE","Supercenter","3010 E 23RD ST","FREMONT","NE","68025"
"777","12","WEST ORANGE TX","Supercenter","3115 EDGAR BROWN DR","WEST ORANGE","TX","77630"
"779","12","LAKELAND FL","Supercenter","3501 S FLORIDA AVE","LAKELAND","FL","33803"
"781","12","MARBLE FALLS TX","Supercenter","2700 US HIGHWAY 281","MARBLE FALLS","TX","78654"
"784","12","MOUNT PLEASANT IA","Supercenter","1045 N GRAND AVE","MOUNT PLEASANT","IA","52641"
"786","12","DEKALB, IL","Supercenter","2300 SYCAMORE RD","DEKALB","IL","60115"
"788","12","CLINTON AR","Supercenter","1966 HIGHWAY 65 S","CLINTON","AR","72031"
"789","12","MESQUITE TX","Supercenter","200 US HIGHWAY 80 E","MESQUITE","TX","75149"
"790","12","MCCOOK NE","Supercenter","1902 W B ST","MCCOOK","NE","69001"
"791","12","ALICE TX","Supercenter","2701 E MAIN ST","ALICE","TX","78332"
"794","12","HUTCHINSON KS","Supercenter","1905 E 17TH AVE","HUTCHINSON","KS","67501"
"796","12","PERU IL","Supercenter","5307 RT. 251","PERU","IL","61354"
"797","12","BURLINGTON IA","Supercenter","324 W AGENCY RD","WEST BURLINGTON","IA","52655"
"798","12","MARSHALL IL","Supercenter","108 KYDEN DR.","MARSHALL","IL","62441"
"803","12","BOGALUSA LA EF","Supercenter","401 ONTARIO AVE","BOGALUSA","LA","70427"
"805","12","FENTON MO","Supercenter","653 GRAVOIS BLUFFS BLVD","FENTON","MO","63026"
"807","12","N RICHLAND HILLS, TX","Supercenter","6401 NE LOOP 820","NORTH RICHLAND HILLS","TX","76180"
"808","12","LAKE JACKSON TX","Supercenter","121 HIGHWAY 332 W","LAKE JACKSON","TX","77566"
"809","12","OXFORD AL","Supercenter","92 PLAZA LN","OXFORD","AL","36203"
